AAGE,ACLSWKR,ADTIND,ADTOCC,AHGA,AHRSPAY,AHSCOL,AMARITL,AMJIND,AMJOCC,ARACE,AREORGN,ASEX,AUNMEM,AUNTYPE,AWKSTAT,CAPGAIN,CAPLOSS,DIVVAL,FILESTAT,GRINREG,GRINST,HHDFMX,HHDREL,MIGMTR1,MIGMTR3,MIGMTR4,MIGSAME,MIGSUN,NOEMP,PARENT,PEFNTVTY,PEMNTVTY,PENATVTY,PRCITSHP,SEOTR,VETQVA,VETYN,WKSWORK,YEAR
48, State government,48,1, Bachelors degree(BA AB BS),0, Not in universe, Married-civilian spouse present, Public administration, Executive admin and managerial, Black, All other, Male, Not in universe, Not in universe, Children or Armed Forces,0,0,0, Joint both under 65, Not in universe, Not in universe, Householder, Householder, Nonmover, Nonmover, Nonmover, Yes, Not in universe,1, Not in universe, United-States, El-Salvador, United-States, Native- Born in the United States,0, Not in universe,2,52,94
40, Private,4,2, Bachelors degree(BA AB BS),0, Not in universe, Married-civilian spouse present, Construction, Executive admin and managerial, White, All other, Male, Not in universe, Not in universe, Children or Armed Forces,0,0,0, Joint both under 65, Not in universe, Not in universe, Householder, Householder, Nonmover, Nonmover, Nonmover, Yes, Not in universe,4, Not in universe, United-States, United-States, United-States, Native- Born in the United States,0, Not in universe,2,52,94
65, Not in universe,0,0, Masters degree(MA MS MEng MEd MSW MBA),0, Not in universe, Married-civilian spouse present, Not in universe or children, Not in universe, White, All other, Male, Not in universe, Not in universe, Children or Armed Forces,0,0,0, Joint one under 65 & one 65+, Not in universe, Not in universe, Spouse of householder, Spouse of householder, Nonmover, Nonmover, Nonmover, Yes, Not in universe,0, Not in universe, United-States, United-States, United-States, Native- Born in the United States,0, Not in universe,2,0,94
49, Federal government,48,15, High school graduate,0, Not in universe, Married-civilian spouse present, Public administration, Technicians and related support, White, All other, Male, Not in universe, Not in universe, Children or Armed Forces,0,0,1250, Joint both under 65, Not in universe, Not in universe, Spouse of householder, Spouse of householder, Nonmover, Nonmover, Nonmover, Yes, Not in universe,3, Not in universe, United-States, United-States, United-States, Native- Born in the United States,0, Not in universe,2,52,94
52, Federal government,50,12, Doctorate degree(PhD EdD),0, Not in universe, Married-civilian spouse present, Public administration, Professional specialty, White, All other, Male, Not in universe, Not in universe, Full-time schedules,0,0,1500, Joint both under 65, Not in universe, Not in universe, Spouse of householder, Spouse of householder, ?, ?, ?, Not in universe under 1 year old, ?,6, Not in universe, United-States, United-States, United-States, Native- Born in the United States,0, Not in universe,2,52,95
36, Private,12,5, Bachelors degree(BA AB BS),0, Not in universe, Married-civilian spouse present, Manufacturing-durable goods, Professional specialty, White, All other, Male, Not in universe, Not in universe, Children or Armed Forces,0,0,50, Joint both under 65, Abroad, Abroad, Householder, Householder, Abroad to MSA, Abroad, Abroad, No, No,6, Not in universe, United-States, United-States, United-States, Native- Born in the United States,2, Not in universe,2,52,94
21, Never worked,0,0, Some college but no degree,0, College or university, Never married, Not in universe or children, Not in universe, White, Central or South American, Female, Not in universe, New entrant, Children or Armed Forces,0,0,0, Nonfiler, Not in universe, Not in universe, Nonfamily householder, Householder, Nonmover, Nonmover, Nonmover, Yes, Not in universe,0, Not in universe, ?, ?, ?, Foreign born- Not a citizen of U S ,0, Not in universe,2,0,94
46, Private,31,34, High school graduate,1700, Not in universe, Married-civilian spouse present, Utilities and sanitary services, Precision production craft & repair, White, All other, Male, No, Not in universe, PT for non-econ reasons usually FT,0,0,0, Joint both under 65, Not in universe, Not in universe, Householder, Householder, ?, ?, ?, Not in universe under 1 year old, ?,6, Not in universe, United-States, United-States, United-States, Native- Born in the United States,0, Not in universe,2,52,95
47, Private,33,2, Masters degree(MA MS MEng MEd MSW MBA),0, Not in universe, Married-civilian spouse present, Retail trade, Executive admin and managerial, White, All other, Female, Not in universe, Not in universe, Children or Armed Forces,0,0,2500, Joint both under 65, Not in universe, Not in universe, Spouse of householder, Spouse of householder, Nonmover, Nonmover, Nonmover, Yes, Not in universe,6, Not in universe, United-States, United-States, United-States, Native- Born in the United States,0, Not in universe,2,48,94
30, Private,12,2, Masters degree(MA MS MEng MEd MSW MBA),0, Not in universe, Married-civilian spouse present, Manufacturing-durable goods, Executive admin and managerial, White, NA, Male, Not in universe, Not in universe, Children or Armed Forces,15024,0,0, Joint both under 65, West, California, Householder, Householder, MSA to MSA, Different county same state, Different county same state, No, Yes,4, Not in universe, United-States, United-States, United-States, Native- Born in the United States,0, Not in universe,2,52,94
36, Private,16,14, Some college but no degree,0, Not in universe, Never married, Manufacturing-durable goods, Technicians and related support, White, Mexican (Mexicano), Male, Not in universe, Not in universe, Full-time schedules,0,0,125, Single, Not in universe, Not in universe, Nonfamily householder, Householder, ?, ?, ?, Not in universe under 1 year old, ?,6, Not in universe, Dominican-Republic, Mexico, Mexico, Foreign born- U S citizen by naturalization,0, Not in universe,2,52,95
65, Private,43,9, Doctorate degree(PhD EdD),0, Not in universe, Married-civilian spouse present, Education, Professional specialty, White, All other, Male, Not in universe, Not in universe, Full-time schedules,10605,0,0, Joint one under 65 & one 65+, Not in universe, Not in universe, Householder, Householder, ?, ?, ?, Not in universe under 1 year old, ?,6, Not in universe, Germany, Germany, Germany, Foreign born- U S citizen by naturalization,2, Not in universe,2,52,95
37, Private,33,10, Bachelors degree(BA AB BS),0, Not in universe, Married-civilian spouse present, Retail trade, Professional specialty, White, All other, Male, Not in universe, Not in universe, Full-time schedules,0,0,0, Joint both under 65, Not in universe, Not in universe, Householder, Householder, ?, ?, ?, Not in universe under 1 year old, ?,6, Not in universe, United-States, United-States, United-States, Native- Born in the United States,0, Not in universe,2,52,95
53, Private,13,36, 7th and 8th grade,0, Not in universe, Married-civilian spouse present, Manufacturing-durable goods, Machine operators assmblrs & inspctrs, Black, All other, Male, Not in universe, Not in universe, Full-time schedules,0,0,0, Joint both under 65, Not in universe, Not in universe, Householder, Householder, ?, ?, ?, Not in universe under 1 year old, ?,4, Not in universe, United-States, United-States, United-States, Native- Born in the United States,0, Not in universe,2,52,95
39, Private,37,2, Associates degree-occup /vocational,0, Not in universe, Married-civilian spouse present, Business and repair services, Executive admin and managerial, White, All other, Female, Not in universe, Not in universe, Children or Armed Forces,7688,0,0, Joint both under 65, Not in universe, Not in universe, Householder, Householder, Nonmover, Nonmover, Nonmover, Yes, Not in universe,6, Not in universe, United-States, United-States, United-States, Native- Born in the United States,0, Not in universe,2,52,94
48, Private,43,9, Doctorate degree(PhD EdD),0, Not in universe, Married-civilian spouse present, Education, Professional specialty, White, All other, Male, Not in universe, Not in universe, Children or Armed Forces,0,0,45, Joint both under 65, Not in universe, Not in universe, Householder, Householder, Nonmover, Nonmover, Nonmover, Yes, Not in universe,4, Not in universe, United-States, United-States, United-States, Native- Born in the United States,0, Not in universe,2,52,94
37, Private,34,2, Masters degree(MA MS MEng MEd MSW MBA),0, Not in universe, Married-civilian spouse present, Finance insurance and real estate, Executive admin and managerial, White, All other, Male, Not in universe, Not in universe, Children or Armed Forces,0,2415,1500, Joint both under 65, Not in universe, Not in universe, Householder, Householder, Nonmover, Nonmover, Nonmover, Yes, Not in universe,4, Not in universe, United-States, United-States, United-States, Native- Born in the United States,0, Not in universe,2,52,94
59, Self-employed-not incorporated,2,43, High school graduate,0, Not in universe, Married-civilian spouse present, Agriculture, Farming forestry and fishing, White, All other, Male, Not in universe, Not in universe, Children or Armed Forces,0,0,0, Joint both under 65, Not in universe, Not in universe, Householder, Householder, Nonmover, Nonmover, Nonmover, Yes, Not in universe,2, Not in universe, United-States, United-States, United-States, Native- Born in the United States,0, Not in universe,2,52,94
43, Local government,43,2, Masters degree(MA MS MEng MEd MSW MBA),0, Not in universe, Married-civilian spouse present, Education, Executive admin and managerial, White, All other, Female, Not in universe, Not in universe, Children or Armed Forces,0,0,0, Joint both under 65, Not in universe, Not in universe, Spouse of householder, Spouse of householder, Nonmover, Nonmover, Nonmover, Yes, Not in universe,6, Not in universe, United-States, United-States, United-States, Native- Born in the United States,0, Not in universe,2,52,94
49, Local government,47,28, Associates degree-academic program,0, Not in universe, Married-civilian spouse present, Public administration, Protective services, White, All other, Male, Not in universe, Not in universe, Full-time schedules,0,0,0, Joint both under 65, Not in universe, Not in universe, Householder, Householder, ?, ?, ?, Not in universe under 1 year old, ?,6, Not in universe, United-States, United-States, United-States, Native- Born in the United States,0, Not in universe,2,52,95
42, Not in universe,0,0, Prof school degree (MD DDS DVM LLB JD),0, Not in universe, Married-civilian spouse present, Not in universe or children, Not in universe, White, All other, Male, Not in universe, Not in universe, Children or Armed Forces,0,0,25, Joint both under 65, Not in universe, Not in universe, Householder, Householder, Nonmover, Nonmover, Nonmover, Yes, Not in universe,1, Not in universe, United-States, United-States, United-States, Native- Born in the United States,0, Not in universe,2,52,94
46, Local government,35,2, Masters degree(MA MS MEng MEd MSW MBA),0, Not in universe, Married-civilian spouse present, Finance insurance and real estate, Executive admin and managerial, Black, All other, Female, Not in universe, Not in universe, Full-time schedules,0,0,1600, Joint both under 65, Not in universe, Not in universe, Spouse of householder, Spouse of householder, ?, ?, ?, Not in universe under 1 year old, ?,6, Not in universe, United-States, United-States, United-States, Native- Born in the United States,0, Not in universe,2,52,95
29, Private,45,2, Bachelors degree(BA AB BS),0, Not in universe, Married-civilian spouse present, Other professional services, Executive admin and managerial, White, All other, Female, No, Not in universe, Children or Armed Forces,0,0,150, Joint both under 65, Not in universe, Not in universe, Spouse of householder, Spouse of householder, Nonmover, Nonmover, Nonmover, Yes, Not in universe,5, Not in universe, United-States, United-States, United-States, Native- Born in the United States,0, Not in universe,2,52,94
56, Private,11,2, Bachelors degree(BA AB BS),0, Not in universe, Married-civilian spouse present, Manufacturing-durable goods, Executive admin and managerial, White, All other, Male, Not in universe, Not in universe, Full-time schedules,0,0,4000, Joint both under 65, Not in universe, Not in universe, Householder, Householder, ?, ?, ?, Not in universe under 1 year old, ?,6, Not in universe, United-States, Canada, United-States, Native- Born in the United States,0, Not in universe,2,52,95
43, Self-employed-incorporated,38,35, Some college but no degree,0, Not in universe, Married-civilian spouse present, Business and repair services, Precision production craft & repair, White, All other, Male, Not in universe, Not in universe, Full-time schedules,0,0,2500, Joint both under 65, Not in universe, Not in universe, Householder, Householder, ?, ?, ?, Not in universe under 1 year old, ?,2, Not in universe, United-States, United-States, United-States, Native- Born in the United States,0, Not in universe,2,52,95
61, Not in universe,0,0, High school graduate,0, Not in universe, Married-civilian spouse present, Not in universe or children, Not in universe, White, Puerto Rican, Female, Not in universe, Not in universe, Not in labor force,0,0,0, Joint both under 65, Not in universe, Not in universe, Spouse of householder, Spouse of householder, ?, ?, ?, Not in universe under 1 year old, ?,6, Not in universe, Puerto-Rico, Puerto-Rico, Puerto-Rico, Native- Born in Puerto Rico or U S Outlying,0, Not in universe,2,24,95
50, Private,43,2, Doctorate degree(PhD EdD),0, Not in universe, Married-civilian spouse present, Education, Executive admin and managerial, White, All other, Male, Not in universe, Not in universe, Full-time schedules,0,0,0, Joint both under 65, Not in universe, Not in universe, Spouse of householder, Spouse of householder, ?, ?, ?, Not in universe under 1 year old, ?,4, Not in universe, United-States, United-States, United-States, Native- Born in the United States,1, Not in universe,2,52,95
30, Private,41,2, Masters degree(MA MS MEng MEd MSW MBA),0, Not in universe, Married-civilian spouse present, Hospital services, Executive admin and managerial, White, All other, Female, Not in universe, Not in universe, Full-time schedules,15024,0,0, Joint both under 65, Not in universe, Not in universe, Householder, Householder, ?, ?, ?, Not in universe under 1 year old, ?,6, Not in universe, United-States, United-States, United-States, Native- Born in the United States,0, Not in universe,2,52,95
38, Self-employed-not incorporated,4,34, High school graduate,0, Not in universe, Married-civilian spouse present, Construction, Precision production craft & repair, White, All other, Male, Not in universe, Not in universe, Children or Armed Forces,0,0,100, Joint both under 65, West, California, Householder, Householder, MSA to MSA, Different division same region, Different state in West, No, No,1, Not in universe, United-States, United-States, United-States, Native- Born in the United States,0, Not in universe,2,52,94
52, Private,45,14, High school graduate,0, Not in universe, Married-civilian spouse present, Other professional services, Technicians and related support, White, All other, Male, Not in universe, Not in universe, Children or Armed Forces,0,0,125, Joint both under 65, Not in universe, Not in universe, Householder, Householder, Nonmover, Nonmover, Nonmover, Yes, Not in universe,6, Not in universe, United-States, United-States, United-States, Native- Born in the United States,0, Not in universe,2,52,94
47, Private,8,2, Bachelors degree(BA AB BS),0, Not in universe, Married-civilian spouse present, Manufacturing-durable goods, Executive admin and managerial, White, All other, Male, Not in universe, Not in universe, Full-time schedules,0,0,1000, Joint both under 65, Not in universe, Not in universe, Householder, Householder, ?, ?, ?, Not in universe under 1 year old, ?,4, Not in universe, United-States, United-States, United-States, Native- Born in the United States,0, Not in universe,2,52,95
35, Self-employed-incorporated,45,3, Bachelors degree(BA AB BS),0, Not in universe, Never married, Other professional services, Executive admin and managerial, White, NA, Female, Not in universe, Not in universe, Children or Armed Forces,0,0,1, Single, Northeast, New Mexico, Nonfamily householder, Householder, MSA to MSA, Different state same division, Different state in Northeast, No, No,2, Not in universe, United-States, United-States, United-States, Native- Born in the United States,0, Not in universe,2,52,94
31, Private,42,2, Bachelors degree(BA AB BS),0, Not in universe, Married-civilian spouse present, Medical except hospital, Executive admin and managerial, White, All other, Female, No, Not in universe, Children or Armed Forces,0,0,25, Joint both under 65, Not in universe, Not in universe, Spouse of householder, Spouse of householder, Nonmover, Nonmover, Nonmover, Yes, Not in universe,5, Not in universe, United-States, United-States, United-States, Native- Born in the United States,0, Not in universe,2,52,94
45, Private,30,15, Some college but no degree,0, Not in universe, Married-civilian spouse present, Communications, Technicians and related support, White, All other, Male, Not in universe, Not in universe, PT for econ reasons usually PT,0,0,0, Joint both under 65, Not in universe, Not in universe, Householder, Householder, ?, ?, ?, Not in universe under 1 year old, ?,6, Not in universe, United-States, Germany, United-States, Native- Born in the United States,0, Not in universe,2,52,95
39, Private,34,2, Bachelors degree(BA AB BS),0, Not in universe, Married-civilian spouse present, Finance insurance and real estate, Executive admin and managerial, White, All other, Male, No, Not in universe, Children or Armed Forces,0,0,1000, Joint both under 65, Not in universe, Not in universe, Householder, Householder, Nonmover, Nonmover, Nonmover, Yes, Not in universe,6, Not in universe, United-States, United-States, United-States, Native- Born in the United States,0, Not in universe,2,52,94
25, Federal government,29,25, Associates degree-occup /vocational,0, Not in universe, Never married, Transportation, Adm support including clerical, White, All other, Female, Not in universe, Not in universe, Full-time schedules,0,0,0, Single, Not in universe, Not in universe, Nonfamily householder, Householder, ?, ?, ?, Not in universe under 1 year old, ?,6, Not in universe, Ireland, France, United-States, Native- Born in the United States,2, Not in universe,2,52,95
52, Private,27,18, High school graduate,0, Not in universe, Married-civilian spouse present, Manufacturing-nondurable goods, Sales, White, All other, Male, Not in universe, Not in universe, Full-time schedules,0,0,0, Joint both under 65, Not in universe, Not in universe, Householder, Householder, ?, ?, ?, Not in universe under 1 year old, ?,4, Not in universe, United-States, United-States, United-States, Native- Born in the United States,0, Not in universe,2,52,95
45, Local government,40,2, Bachelors degree(BA AB BS),0, Not in universe, Married-civilian spouse present, Entertainment, Executive admin and managerial, White, All other, Female, Not in universe, Not in universe, Children or Armed Forces,0,0,233, Joint both under 65, Not in universe, Not in universe, Spouse of householder, Spouse of householder, Nonmover, Nonmover, Nonmover, Yes, Not in universe,4, Not in universe, United-States, United-States, United-States, Native- Born in the United States,0, Not in universe,2,52,94
41, Private,12,2, Associates degree-academic program,0, Not in universe, Married-civilian spouse present, Manufacturing-durable goods, Executive admin and managerial, White, All other, Male, Not in universe, Not in universe, Full-time schedules,15024,0,15000, Joint both under 65, Not in universe, Not in universe, Householder, Householder, ?, ?, ?, Not in universe under 1 year old, ?,6, Not in universe, United-States, United-States, United-States, Native- Born in the United States,0, Not in universe,2,52,95
76, Private,34,2, Masters degree(MA MS MEng MEd MSW MBA),0, Not in universe, Married-civilian spouse present, Finance insurance and real estate, Executive admin and managerial, White, All other, Male, Not in universe, Not in universe, Children or Armed Forces,0,0,900, Joint both 65+, Not in universe, Not in universe, Householder, Householder, Nonmover, Nonmover, Nonmover, Yes, Not in universe,6, Not in universe, United-States, United-States, United-States, Native- Born in the United States,0, Not in universe,2,52,94
34, Private,24,2, Some college but no degree,0, Not in universe, Married-civilian spouse present, Manufacturing-nondurable goods, Executive admin and managerial, White, All other, Male, Not in universe, Not in universe, Children or Armed Forces,0,0,0, Joint both under 65, Not in universe, Not in universe, Spouse of RP of unrelated subfamily, Nonrelative of householder, Nonmover, Nonmover, Nonmover, Yes, Not in universe,4, Not in universe, United-States, United-States, United-States, Native- Born in the United States,0, Not in universe,2,52,94
77, Private,39,36, 7th and 8th grade,0, Not in universe, Married-civilian spouse present, Personal services except private HH, Machine operators assmblrs & inspctrs, Other, All other, Male, Not in universe, Not in universe, Children or Armed Forces,0,0,0, Joint both 65+, Not in universe, Not in universe, Householder, Householder, Nonmover, Nonmover, Nonmover, Yes, Not in universe,1, Not in universe, United-States, United-States, United-States, Native- Born in the United States,0, Not in universe,2,52,94
47, Federal government,31,4, Bachelors degree(BA AB BS),0, Not in universe, Married-civilian spouse present, Utilities and sanitary services, Professional specialty, White, All other, Male, Not in universe, Not in universe, Full-time schedules,0,0,200, Joint both under 65, Not in universe, Not in universe, Householder, Householder, ?, ?, ?, Not in universe under 1 year old, ?,6, Not in universe, United-States, United-States, United-States, Native- Born in the United States,2, Not in universe,2,52,95
30, Federal government,47,14, High school graduate,0, Not in universe, Married-civilian spouse present, Public administration, Technicians and related support, Other, All other, Male, Not in universe, Not in universe, Full-time schedules,0,0,0, Joint both under 65, Not in universe, Not in universe, Householder, Householder, ?, ?, ?, Not in universe under 1 year old, ?,6, Not in universe, United-States, United-States, United-States, Native- Born in the United States,1, Not in universe,2,52,95
65, Private,42,3, Masters degree(MA MS MEng MEd MSW MBA),0, Not in universe, Married-civilian spouse present, Medical except hospital, Executive admin and managerial, White, All other, Male, Not in universe, Not in universe, Full-time schedules,0,0,0, Joint one under 65 & one 65+, Not in universe, Not in universe, Householder, Householder, ?, ?, ?, Not in universe under 1 year old, ?,6, Not in universe, United-States, United-States, United-States, Native- Born in the United States,0, Not in universe,2,28,95
43, Private,33,38, Some college but no degree,0, Not in universe, Separated, Retail trade, Transportation and material moving, White, All other, Male, Not in universe, Not in universe, Children or Armed Forces,4934,0,94, Head of household, West, California, Householder, Householder, MSA to MSA, Same county, Same county, No, No,6, Not in universe, United-States, United-States, United-States, Native- Born in the United States,0, Not in universe,2,52,94
74, Not in universe,0,0, Some college but no degree,0, Not in universe, Widowed, Not in universe or children, Not in universe, White, All other, Female, Not in universe, Not in universe, Not in labor force,7896,0,2022, Single, Not in universe, Not in universe, Nonfamily householder, Householder, ?, ?, ?, Not in universe under 1 year old, ?,0, Not in universe, United-States, United-States, United-States, Native- Born in the United States,0, Not in universe,2,0,95
37, Local government,42,6, Doctorate degree(PhD EdD),0, Not in universe, Divorced, Medical except hospital, Professional specialty, White, All other, Female, Not in universe, Not in universe, Children or Armed Forces,0,0,0, Single, Not in universe, Not in universe, Nonfamily householder, Householder, Nonmover, Nonmover, Nonmover, Yes, Not in universe,6, Not in universe, United-States, United-States, United-States, Native- Born in the United States,0, Not in universe,2,52,94
42, Private,35,11, Prof school degree (MD DDS DVM LLB JD),0, Not in universe, Married-civilian spouse present, Finance insurance and real estate, Professional specialty, White, All other, Male, Not in universe, Not in universe, Full-time schedules,0,0,0, Joint both under 65, Not in universe, Not in universe, Householder, Householder, ?, ?, ?, Not in universe under 1 year old, ?,6, Not in universe, United-States, United-States, United-States, Native- Born in the United States,0, Not in universe,2,20,95
56, Private,11,12, Bachelors degree(BA AB BS),0, Not in universe, Married-civilian spouse present, Manufacturing-durable goods, Professional specialty, White, All other, Male, No, Not in universe, Full-time schedules,15024,0,2500, Joint both under 65, Not in universe, Not in universe, Householder, Householder, ?, ?, ?, Not in universe under 1 year old, ?,6, Not in universe, United-States, United-States, United-States, Native- Born in the United States,0, Not in universe,2,52,95
48, Private,34,3, Associates degree-academic program,0, Not in universe, Married-civilian spouse present, Finance insurance and real estate, Executive admin and managerial, White, All other, Female, Not in universe, Not in universe, Full-time schedules,0,0,500, Joint both under 65, Not in universe, Not in universe, Spouse of householder, Spouse of householder, ?, ?, ?, Not in universe under 1 year old, ?,1, Not in universe, United-States, United-States, United-States, Native- Born in the United States,0, Not in universe,2,52,95
53, Federal government,37,14, Bachelors degree(BA AB BS),0, Not in universe, Married-civilian spouse present, Business and repair services, Technicians and related support, Black, All other, Male, Not in universe, Not in universe, Full-time schedules,0,0,0, Joint both under 65, Not in universe, Not in universe, Householder, Householder, ?, ?, ?, Not in universe under 1 year old, ?,6, Not in universe, United-States, United-States, United-States, Native- Born in the United States,0, Not in universe,2,52,95
38, Private,41,15, Associates degree-academic program,0, Not in universe, Married-civilian spouse present, Hospital services, Technicians and related support, White, All other, Male, Not in universe, Not in universe, Children or Armed Forces,0,0,0, Joint both under 65, Not in universe, Not in universe, Householder, Householder, Nonmover, Nonmover, Nonmover, Yes, Not in universe,6, Not in universe, United-States, United-States, United-States, Native- Born in the United States,0, Not in universe,2,52,94
48, Private,30,4, Bachelors degree(BA AB BS),0, Not in universe, Married-spouse absent, Communications, Professional specialty, White, All other, Male, No, Not in universe, Children or Armed Forces,0,0,1000, Single, South, Georgia, Nonfamily householder, Householder, NonMSA to MSA, Different state same division, Different state in South, No, Yes,6, Not in universe, United-States, United-States, United-States, Native- Born in the United States,1, Not in universe,2,52,94
37, Private,31,12, Bachelors degree(BA AB BS),0, Not in universe, Separated, Utilities and sanitary services, Professional specialty, White, All other, Female, No, Not in universe, Children or Armed Forces,4934,0,0, Head of household, Not in universe, Not in universe, Householder, Householder, Nonmover, Nonmover, Nonmover, Yes, Not in universe,4, Not in universe, United-States, United-States, United-States, Native- Born in the United States,2, Not in universe,2,48,94
42, Private,32,38, Some college but no degree,0, Not in universe, Married-civilian spouse present, Wholesale trade, Transportation and material moving, White, All other, Male, Not in universe, Not in universe, Full-time schedules,7298,0,0, Joint both under 65, Not in universe, Not in universe, Householder, Householder, ?, ?, ?, Not in universe under 1 year old, ?,4, Not in universe, United-States, United-States, United-States, Native- Born in the United States,0, Not in universe,2,52,95
35, Private,42,7, Prof school degree (MD DDS DVM LLB JD),0, Not in universe, Married-civilian spouse present, Medical except hospital, Professional specialty, White, All other, Male, Not in universe, Not in universe, Children or Armed Forces,0,0,100, Joint both under 65, Not in universe, Not in universe, Householder, Householder, Nonmover, Nonmover, Nonmover, Yes, Not in universe,3, Not in universe, United-States, United-States, United-States, Native- Born in the United States,0, Not in universe,2,52,94
57, Self-employed-incorporated,35,2, Bachelors degree(BA AB BS),0, Not in universe, Married-civilian spouse present, Finance insurance and real estate, Executive admin and managerial, White, All other, Male, Not in universe, Not in universe, Full-time schedules,0,0,0, Joint both under 65, Not in universe, Not in universe, Householder, Householder, ?, ?, ?, Not in universe under 1 year old, ?,1, Not in universe, United-States, United-States, United-States, Native- Born in the United States,0, Not in universe,2,52,95
50, Self-employed-not incorporated,45,3, Bachelors degree(BA AB BS),0, Not in universe, Married-civilian spouse present, Other professional services, Executive admin and managerial, White, All other, Male, Not in universe, Not in universe, PT for non-econ reasons usually FT,15024,0,0, Joint both under 65, Not in universe, Not in universe, Householder, Householder, ?, ?, ?, Not in universe under 1 year old, ?,1, Not in universe, United-States, United-States, United-States, Native- Born in the United States,0, Not in universe,2,52,95
47, Self-employed-not incorporated,42,2, Doctorate degree(PhD EdD),0, Not in universe, Married-civilian spouse present, Medical except hospital, Executive admin and managerial, White, All other, Female, Not in universe, Not in universe, PT for non-econ reasons usually FT,0,0,0, Joint both under 65, Not in universe, Not in universe, Spouse of householder, Spouse of householder, ?, ?, ?, Not in universe under 1 year old, ?,1, Not in universe, ?, ?, ?, Foreign born- U S citizen by naturalization,0, Not in universe,2,52,95
47, Private,29,38, High school graduate,0, Not in universe, Married-civilian spouse present, Transportation, Transportation and material moving, White, All other, Male, Not in universe, Not in universe, Full-time schedules,0,0,0, Joint both under 65, Not in universe, Not in universe, Householder, Householder, ?, ?, ?, Not in universe under 1 year old, ?,2, Not in universe, Italy, Italy, United-States, Native- Born in the United States,0, Not in universe,2,52,95
54, Self-employed-not incorporated,4,34, Associates degree-occup /vocational,0, Not in universe, Married-civilian spouse present, Construction, Precision production craft & repair, White, All other, Male, Not in universe, Not in universe, Full-time schedules,0,0,0, Joint both under 65, Not in universe, Not in universe, Householder, Householder, ?, ?, ?, Not in universe under 1 year old, ?,1, Not in universe, United-States, United-States, United-States, Native- Born in the United States,0, Not in universe,2,52,95
42, Private,16,4, Masters degree(MA MS MEng MEd MSW MBA),0, Not in universe, Married-civilian spouse present, Manufacturing-durable goods, Professional specialty, Asian or Pacific Islander, All other, Male, Not in universe, Not in universe, Children or Armed Forces,0,1902,165, Joint both under 65, Not in universe, Not in universe, Householder, Householder, Nonmover, Nonmover, Nonmover, Yes, Not in universe,6, Not in universe, India, India, India, Foreign born- U S citizen by naturalization,0, Not in universe,2,52,94
47, Private,13,2, Some college but no degree,0, Not in universe, Married-civilian spouse present, Manufacturing-durable goods, Executive admin and managerial, White, All other, Male, Not in universe, Not in universe, Children or Armed Forces,0,0,72, Joint both under 65, Not in universe, Not in universe, Spouse of householder, Spouse of householder, Nonmover, Nonmover, Nonmover, Yes, Not in universe,6, Not in universe, United-States, United-States, United-States, Native- Born in the United States,0, Not in universe,2,52,94
34, Self-employed-incorporated,42,7, Prof school degree (MD DDS DVM LLB JD),0, Not in universe, Married-civilian spouse present, Medical except hospital, Professional specialty, White, All other, Male, Not in universe, Not in universe, Full-time schedules,0,1902,0, Joint both under 65, Not in universe, Not in universe, Householder, Householder, ?, ?, ?, Not in universe under 1 year old, ?,1, Not in universe, United-States, United-States, United-States, Native- Born in the United States,0, Not in universe,2,52,95
51, Private,26,26, Associates degree-occup /vocational,0, Not in universe, Divorced, Manufacturing-nondurable goods, Adm support including clerical, White, All other, Female, Not in universe, Not in universe, Full-time schedules,0,0,1800, Single, Not in universe, Not in universe, Nonfamily householder, Householder, ?, ?, ?, Not in universe under 1 year old, ?,6, Not in universe, United-States, United-States, United-States, Native- Born in the United States,0, Not in universe,2,52,95
35, Private,11,2, Some college but no degree,0, Not in universe, Married-civilian spouse present, Manufacturing-durable goods, Executive admin and managerial, White, All other, Male, No, Not in universe, Full-time schedules,0,0,105, Joint both under 65, Not in universe, Not in universe, Householder, Householder, ?, ?, ?, Not in universe under 1 year old, ?,6, Not in universe, United-States, United-States, United-States, Native- Born in the United States,0, Not in universe,2,52,95
35, Private,45,4, Bachelors degree(BA AB BS),1800, Not in universe, Married-civilian spouse present, Other professional services, Professional specialty, White, All other, Male, No, Not in universe, Full-time schedules,0,0,0, Joint both under 65, Not in universe, Not in universe, Householder, Householder, ?, ?, ?, Not in universe under 1 year old, ?,6, Not in universe, United-States, United-States, United-States, Native- Born in the United States,0, Not in universe,2,52,95
43, Private,22,36, Bachelors degree(BA AB BS),0, Not in universe, Never married, Manufacturing-nondurable goods, Machine operators assmblrs & inspctrs, White, All other, Female, Not in universe, Not in universe, Full-time schedules,0,0,0, Single, Not in universe, Not in universe, Secondary individual, Nonrelative of householder, ?, ?, ?, Not in universe under 1 year old, ?,4, Not in universe, Poland, Poland, Poland, Foreign born- Not a citizen of U S ,0, Not in universe,2,52,95
55, Self-employed-incorporated,29,2, 11th grade,0, Not in universe, Married-civilian spouse present, Transportation, Executive admin and managerial, White, All other, Male, Not in universe, Not in universe, Full-time schedules,0,0,0, Joint both under 65, Not in universe, Not in universe, Spouse of householder, Spouse of householder, ?, ?, ?, Not in universe under 1 year old, ?,1, Not in universe, United-States, United-States, United-States, Native- Born in the United States,1, Not in universe,2,52,95
